organism,SMAG,taxlevel,breakpoints,cor_md5sum1,cor_md5sum2,cor_md5sum3,cor_md5sum4,cor_md5sum5,cor_md5sum6,cor_md5sum7,cor_md5sum8,cor_md5sum9,cor_md5sum10,organism,SMAG,taxlevel,breakpoints,rho_md5sum1,rho_md5sum2,rho_md5sum3,rho_md5sum4,rho_md5sum5,rho_md5sum6,rho_md5sum7,rho_md5sum8,rho_md5sum9,rho_md5sum10
Aureococcus,TARA_PON_109_MAG_00221,taxogroup_middle,1 NA NA NA NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,,Aureococcus,TARA_PON_109_MAG_00221,taxogroup_middle,1 2 NA NA NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,9fbda6a96c62b77a76455d0632ce1c08531a836d,,,,,,,,
Aureococcus,TARA_PSW_86_MAG_00257,genus,NA,0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,,Aureococcus,TARA_PSW_86_MAG_00257,genus,NA,0c1363aada7d27a290b661835464e61cb86d98e3,9fbda6a96c62b77a76455d0632ce1c08531a836d,,,,,,,,
Aureococcus,TARA_PSW_86_MAG_00257,taxogroup_middle,NA NA NA NA NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,,Aureococcus,TARA_PSW_86_MAG_00257,taxogroup_middle,NA NA NA NA NA NA NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,9fbda6a96c62b77a76455d0632ce1c08531a836d,,,,,,,,
Bathycoccus,TARA_AON_82_MAG_00271,taxogroup_middle,1 2,c876c4d5052b943d870996a2c62f570873fd11ba,6b514fe39086fcf7c1325878394f32b5e6141e95,,,,,,,,,Bathycoccus,TARA_AON_82_MAG_00271,taxogroup_middle,1 2,c876c4d5052b943d870996a2c62f570873fd11ba,6b514fe39086fcf7c1325878394f32b5e6141e95,,,,,,,,
Bathycoccus,TARA_AOS_82_MAG_00186,taxogroup_middle,NA 2,c876c4d5052b943d870996a2c62f570873fd11ba,6b514fe39086fcf7c1325878394f32b5e6141e95,,,,,,,,,Bathycoccus,TARA_AOS_82_MAG_00186,taxogroup_middle,NA NA,c876c4d5052b943d870996a2c62f570873fd11ba,,,,,,,,,
Bathycoccus,TARA_ARC_108_MAG_00264,taxogroup_middle,1 2,c876c4d5052b943d870996a2c62f570873fd11ba,6b514fe39086fcf7c1325878394f32b5e6141e95,,,,,,,,,Bathycoccus,TARA_ARC_108_MAG_00264,taxogroup_middle,1,c876c4d5052b943d870996a2c62f570873fd11ba,,,,,,,,,
Bathycoccus,TARA_ION_45_MAG_00030,taxogroup_middle,NA 2,6b514fe39086fcf7c1325878394f32b5e6141e95,c876c4d5052b943d870996a2c62f570873fd11ba,,,,,,,,,Bathycoccus,TARA_ION_45_MAG_00030,taxogroup_middle,NA NA,c876c4d5052b943d870996a2c62f570873fd11ba,,,,,,,,,
Bathycoccus,TARA_MED_95_MAG_00198,taxogroup_middle,1 2,c876c4d5052b943d870996a2c62f570873fd11ba,6b514fe39086fcf7c1325878394f32b5e6141e95,,,,,,,,,Bathycoccus,TARA_MED_95_MAG_00198,taxogroup_middle,1 2,c876c4d5052b943d870996a2c62f570873fd11ba,6b514fe39086fcf7c1325878394f32b5e6141e95,,,,,,,,
Bathycoccus,TARA_MED_95_MAG_00421,taxogroup_middle,NA 2,6b514fe39086fcf7c1325878394f32b5e6141e95,c876c4d5052b943d870996a2c62f570873fd11ba,,,,,,,,,Bathycoccus,TARA_MED_95_MAG_00421,taxogroup_middle,NA NA,c876c4d5052b943d870996a2c62f570873fd11ba,,,,,,,,,
Bathycoccus,TARA_PSE_93_MAG_00017,taxogroup_middle,1 NA,c876c4d5052b943d870996a2c62f570873fd11ba,,,,,,,,,,Bathycoccus,TARA_PSE_93_MAG_00017,taxogroup_middle,1 NA,8bbb790e48bdc59dad64adfe9d756e9e4a1e7eff,,,,,,,,,
Bathycoccus,TARA_PSE_93_MAG_00090,taxogroup_middle,1 2,c876c4d5052b943d870996a2c62f570873fd11ba,6b514fe39086fcf7c1325878394f32b5e6141e95,,,,,,,,,Bathycoccus,TARA_PSE_93_MAG_00090,taxogroup_middle,1 2,c876c4d5052b943d870996a2c62f570873fd11ba,6b514fe39086fcf7c1325878394f32b5e6141e95,,,,,,,,
Cafeteria,TARA_ION_45_MAG_00147,taxogroup_middle,NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,,Cafeteria,TARA_ION_45_MAG_00147,taxogroup_middle,NA NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_ARC_108_MAG_00116,genus,1 NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,,,,,,,,,,Chaetoceros,TARA_ARC_108_MAG_00116,genus,NA NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_ARC_108_MAG_00116,taxogroup_middle,NA 2 NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_ARC_108_MAG_00116,taxogroup_middle,NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_ARC_108_MAG_00189,genus,NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_ARC_108_MAG_00189,genus,NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_ARC_108_MAG_00189,taxogroup_middle,NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_ARC_108_MAG_00189,taxogroup_middle,NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_ARC_108_MAG_00217,genus,NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_ARC_108_MAG_00217,genus,NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_ARC_108_MAG_00217,taxogroup_middle,NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_ARC_108_MAG_00217,taxogroup_middle,NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_ARC_108_MAG_00232,genus,NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_ARC_108_MAG_00232,genus,NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_ARC_108_MAG_00232,taxogroup_middle,NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_ARC_108_MAG_00232,taxogroup_middle,NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_ARC_108_MAG_00267,genus,NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_ARC_108_MAG_00267,genus,NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_ARC_108_MAG_00267,taxogroup_middle,NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_ARC_108_MAG_00267,taxogroup_middle,NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_MED_95_MAG_00399,genus,NA NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_MED_95_MAG_00399,genus,NA NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_MED_95_MAG_00399,taxogroup_middle,NA NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_MED_95_MAG_00399,taxogroup_middle,NA NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_PSE_93_MAG_00171,genus,NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_PSE_93_MAG_00171,genus,NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_PSE_93_MAG_00171,taxogroup_middle,NA NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_PSE_93_MAG_00171,taxogroup_middle,NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_PSE_93_MAG_00253,genus,NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_PSE_93_MAG_00253,genus,NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_PSE_93_MAG_00253,taxogroup_middle,NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_PSE_93_MAG_00253,taxogroup_middle,NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_PSW_86_MAG_00256,genus,NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_PSW_86_MAG_00256,genus,NA NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_PSW_86_MAG_00256,taxogroup_middle,NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_PSW_86_MAG_00256,taxogroup_middle,NA NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_SOC_28_MAG_00037,genus,NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_SOC_28_MAG_00037,genus,NA NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_SOC_28_MAG_00037,taxogroup_middle,NA NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_SOC_28_MAG_00037,taxogroup_middle,NA NA NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_SOC_28_MAG_00060,genus,NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_SOC_28_MAG_00060,genus,NA NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
Chaetoceros,TARA_SOC_28_MAG_00060,taxogroup_middle,NA NA NA NA NA NA NA,acad2a9cf29d20b11647ee21417ee89229629b5e,ed1069afac297c3042f5df64b25b7387b7f7516f,,,,,,,,,Chaetoceros,TARA_SOC_28_MAG_00060,taxogroup_middle,NA NA NA NA NA NA,dedd73012459fedb2d854754f2c4acf248d1712d,,,,,,,,,
chloroparvula,TARA_AON_82_MAG_00300,genus,1 2 NA NA NA NA NA NA,c605ef53efb8ebba4670b2121fb6d43e69217b7e,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,,,,,,,,,chloroparvula,TARA_AON_82_MAG_00300,genus,1 2 NA NA NA NA NA NA NA,c605ef53efb8ebba4670b2121fb6d43e69217b7e,036faccf8545ac212335a7f85f07c1da366121de,,,,,,,,
chloroparvula,TARA_AON_82_MAG_00300,taxogroup_middle,1 2 NA NA NA NA NA NA,c605ef53efb8ebba4670b2121fb6d43e69217b7e,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,,,,,,,,,chloroparvula,TARA_AON_82_MAG_00300,taxogroup_middle,1 NA NA NA NA NA NA NA,c605ef53efb8ebba4670b2121fb6d43e69217b7e,,,,,,,,,
chloroparvula,TARA_ION_45_MAG_00156,genus,1 2 3 NA NA NA NA,273332e0dfd94d5a9802926879531af5996f637d,b47fee330f5133d401e80001351c89c30502d932,1ffd30cccbafaac143303ae4cb75e0c90ed2cc9b,,,,,,,,chloroparvula,TARA_ION_45_MAG_00156,genus,1 NA NA NA NA NA NA NA,273332e0dfd94d5a9802926879531af5996f637d,,,,,,,,,
chloroparvula,TARA_ION_45_MAG_00156,taxogroup_middle,1 2 3 NA NA NA NA NA NA,273332e0dfd94d5a9802926879531af5996f637d,b47fee330f5133d401e80001351c89c30502d932,1ffd30cccbafaac143303ae4cb75e0c90ed2cc9b,,,,,,,,chloroparvula,TARA_ION_45_MAG_00156,taxogroup_middle,1 NA NA NA NA NA NA NA,273332e0dfd94d5a9802926879531af5996f637d,,,,,,,,,
chloroparvula,TARA_IOS_50_MAG_00114,genus,1 2 NA 4 NA NA,a443c3ba567e7566266d4d50867ae2969801d3a4,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,756b537b6d951b323ed9a3334ed5c1d36973a4d9,74c4f15ca9aa7b936dbf91e31457b5fa1f5e9784,,,,,,,chloroparvula,TARA_IOS_50_MAG_00114,genus,1 2 NA NA NA NA NA,a443c3ba567e7566266d4d50867ae2969801d3a4,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,,,,,,,,
chloroparvula,TARA_IOS_50_MAG_00114,taxogroup_middle,1 2 NA NA NA NA 7 NA NA,a443c3ba567e7566266d4d50867ae2969801d3a4,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,756b537b6d951b323ed9a3334ed5c1d36973a4d9,e0d046e639e4b315526674b1d3f5fb6ae7c3b162,74c4f15ca9aa7b936dbf91e31457b5fa1f5e9784,3ff909dfce4ec920e4b9a258800811f29215fbcf,3e9badf5bfe6ccb477b6b6b7444f02d72b12b1e5,,,,chloroparvula,TARA_IOS_50_MAG_00114,taxogroup_middle,1 NA NA NA NA NA NA NA,a443c3ba567e7566266d4d50867ae2969801d3a4,,,,,,,,,
chloroparvula,TARA_PON_109_MAG_00222,genus,NA 2 NA NA NA NA,a443c3ba567e7566266d4d50867ae2969801d3a4,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,,,,,,,,,chloroparvula,TARA_PON_109_MAG_00222,genus,1 NA NA NA NA NA NA,a443c3ba567e7566266d4d50867ae2969801d3a4,,,,,,,,,
chloroparvula,TARA_PON_109_MAG_00222,taxogroup_middle,NA 2 NA NA NA NA NA NA,a443c3ba567e7566266d4d50867ae2969801d3a4,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,,,,,,,,,chloroparvula,TARA_PON_109_MAG_00222,taxogroup_middle,1 NA NA NA NA NA NA NA,a443c3ba567e7566266d4d50867ae2969801d3a4,,,,,,,,,
chloroparvula,TARA_PON_109_MAG_00226,genus,1 2 NA NA NA NA,b47fee330f5133d401e80001351c89c30502d932,1ffd30cccbafaac143303ae4cb75e0c90ed2cc9b,,,,,,,,,chloroparvula,TARA_PON_109_MAG_00226,genus,1 NA NA NA NA NA NA NA,b47fee330f5133d401e80001351c89c30502d932,,,,,,,,,
chloroparvula,TARA_PON_109_MAG_00226,taxogroup_middle,1 2 NA NA NA NA NA NA,b47fee330f5133d401e80001351c89c30502d932,1ffd30cccbafaac143303ae4cb75e0c90ed2cc9b,,,,,,,,,chloroparvula,TARA_PON_109_MAG_00226,taxogroup_middle,NA NA NA NA NA NA NA NA,b47fee330f5133d401e80001351c89c30502d932,,,,,,,,,
chloroparvula,TARA_PSE_93_MAG_00220,genus,1 2 3 NA NA NA NA NA NA,c605ef53efb8ebba4670b2121fb6d43e69217b7e,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,a443c3ba567e7566266d4d50867ae2969801d3a4,,,,,,,,chloroparvula,TARA_PSE_93_MAG_00220,genus,1 NA NA NA NA NA NA NA,c605ef53efb8ebba4670b2121fb6d43e69217b7e,,,,,,,,,
chloroparvula,TARA_PSE_93_MAG_00220,taxogroup_middle,1 2 NA NA NA NA NA NA NA,c605ef53efb8ebba4670b2121fb6d43e69217b7e,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,,,,,,,,,chloroparvula,TARA_PSE_93_MAG_00220,taxogroup_middle,1 NA NA NA NA NA NA NA,c605ef53efb8ebba4670b2121fb6d43e69217b7e,,,,,,,,,
chloroparvula,TARA_PSE_93_MAG_00236,genus,NA 2 3 NA NA NA 7,74c4f15ca9aa7b936dbf91e31457b5fa1f5e9784,756b537b6d951b323ed9a3334ed5c1d36973a4d9,f6cbf9fddf2c6ac86bf633996bd95bf2e7b107e8,a443c3ba567e7566266d4d50867ae2969801d3a4,4288479b74340d3d264fcb6b6c7f05da62c6fc4d,1ffd30cccbafaac143303ae4cb75e0c90ed2cc9b,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,,,,chloroparvula,TARA_PSE_93_MAG_00236,genus,NA 2 3 NA NA NA 7 NA,74c4f15ca9aa7b936dbf91e31457b5fa1f5e9784,756b537b6d951b323ed9a3334ed5c1d36973a4d9,f6cbf9fddf2c6ac86bf633996bd95bf2e7b107e8,a443c3ba567e7566266d4d50867ae2969801d3a4,1ffd30cccbafaac143303ae4cb75e0c90ed2cc9b,574f35e3c48a314e8f8594c2c62d0f0c69266ae6,4288479b74340d3d264fcb6b6c7f05da62c6fc4d,,,
chloroparvula,TARA_PSE_93_MAG_00236,taxogroup_middle,NA 2 NA NA NA NA 7 NA NA,74c4f15ca9aa7b936dbf91e31457b5fa1f5e9784,756b537b6d951b323ed9a3334ed5c1d36973a4d9,e50b8eb6e11c4ec217ecdadb18bce9084db3bab7,d0430ca982ea85837786256dccf44460964f369b,f359db7dd2290397296d6b8e8d184422cf3b006e,a1a73e72269366a490eb5fdfade04b2c4583ab44,f6cbf9fddf2c6ac86bf633996bd95bf2e7b107e8,,,,chloroparvula,TARA_PSE_93_MAG_00236,taxogroup_middle,NA 2 NA NA NA NA 7 NA NA,74c4f15ca9aa7b936dbf91e31457b5fa1f5e9784,756b537b6d951b323ed9a3334ed5c1d36973a4d9,f359db7dd2290397296d6b8e8d184422cf3b006e,d0430ca982ea85837786256dccf44460964f369b,e50b8eb6e11c4ec217ecdadb18bce9084db3bab7,a1a73e72269366a490eb5fdfade04b2c4583ab44,f6cbf9fddf2c6ac86bf633996bd95bf2e7b107e8,,,
Chloropicon,TARA_AON_82_MAG_00229,genus,1 NA 3 NA NA NA NA 8 NA,3e9badf5bfe6ccb477b6b6b7444f02d72b12b1e5,1f9bc45ded5aefb6ed99199903cf146d133c5033,62d4efcd3795665240709341fbf31881320a18aa,a1a73e72269366a490eb5fdfade04b2c4583ab44,f359db7dd2290397296d6b8e8d184422cf3b006e,d0430ca982ea85837786256dccf44460964f369b,3ff909dfce4ec920e4b9a258800811f29215fbcf,8deb9df4031546babb5b84887c6578baf49a0b41,,,Chloropicon,TARA_AON_82_MAG_00229,genus,1 NA NA NA NA NA NA NA NA,1f9bc45ded5aefb6ed99199903cf146d133c5033,,,,,,,,,
Chloropicon,TARA_AON_82_MAG_00229,taxogroup_middle,1 NA NA NA NA NA NA NA NA,3e9badf5bfe6ccb477b6b6b7444f02d72b12b1e5,,,,,,,,,,Chloropicon,TARA_AON_82_MAG_00229,taxogroup_middle,1 NA NA NA NA NA NA NA NA,1f9bc45ded5aefb6ed99199903cf146d133c5033,,,,,,,,,
Chloropicon,TARA_AOS_82_MAG_00032,genus,1 2 NA NA NA NA NA 8,3e9badf5bfe6ccb477b6b6b7444f02d72b12b1e5,1f9bc45ded5aefb6ed99199903cf146d133c5033,62d4efcd3795665240709341fbf31881320a18aa,a1a73e72269366a490eb5fdfade04b2c4583ab44,f359db7dd2290397296d6b8e8d184422cf3b006e,d0430ca982ea85837786256dccf44460964f369b,8deb9df4031546babb5b84887c6578baf49a0b41,3ff909dfce4ec920e4b9a258800811f29215fbcf,,,Chloropicon,TARA_AOS_82_MAG_00032,genus,1 NA NA NA NA 6 NA NA,1f9bc45ded5aefb6ed99199903cf146d133c5033,3e9badf5bfe6ccb477b6b6b7444f02d72b12b1e5,62d4efcd3795665240709341fbf31881320a18aa,d0430ca982ea85837786256dccf44460964f369b,f359db7dd2290397296d6b8e8d184422cf3b006e,a1a73e72269366a490eb5fdfade04b2c4583ab44,,,,
Chloropicon,TARA_AOS_82_MAG_00032,taxogroup_middle,1 2 NA NA NA NA NA NA NA,3e9badf5bfe6ccb477b6b6b7444f02d72b12b1e5,1f9bc45ded5aefb6ed99199903cf146d133c5033,,,,,,,,,Chloropicon,TARA_AOS_82_MAG_00032,taxogroup_middle,1 NA NA NA NA 6 NA NA NA,1f9bc45ded5aefb6ed99199903cf146d133c5033,3e9badf5bfe6ccb477b6b6b7444f02d72b12b1e5,62d4efcd3795665240709341fbf31881320a18aa,d0430ca982ea85837786256dccf44460964f369b,f359db7dd2290397296d6b8e8d184422cf3b006e,a1a73e72269366a490eb5fdfade04b2c4583ab44,,,,
